,,Democratic,Republican,Total Votes Cast,Total Ballots Cast
Precinct,2162530067,342,434,776,776
Precinct,2162530068,245,476,721,721
Precinct,2202230069,173,196,369,369
Precinct,2202530070,365,365,730,730
Precinct,2202530071,395,445,840,840
Precinct,2202530072,461,462,923,923
Precinct,2202530073,362,533,895,895
Precinct,2202530074,583,814,1397,1397
Precinct,2202530075,572,736,1308,1308
Precinct,2202530076,596,788,1384,1384
Precinct,2202530077,409,656,1065,1065
Precinct,2202530078,447,535,982,982
Precinct,2202530079,253,357,610,610
Precinct,2202530080,292,612,904,904
Precinct,2222230081,453,652,1105,1105
Precinct,2222230082,366,529,895,895
Precinct,2222530083,299,407,706,706
County,Larimer,69136,72219,141355,141355
Precinct,2145235201,426,236,662,662
Precinct,2145235202,500,334,834,834
Precinct,2145235203,712,683,1395,1395
Precinct,2145235204,682,561,1243,1243
Precinct,2145235205,518,148,666,666
Precinct,2145235206,744,203,947,947
Precinct,2145235207,598,114,712,712
Precinct,2145235208,710,207,917,917
Precinct,2145235209,688,285,973,973
Precinct,2145235210,469,261,730,730
Precinct,2145235211,708,511,1219,1219
Precinct,2145235212,513,307,820,820
Precinct,2145235213,742,390,1132,1132
Precinct,2145235214,640,288,928,928
Precinct,2145235215,360,276,636,636
Precinct,2145235216,387,173,560,560
Precinct,2145235217,612,391,1003,1003
Precinct,2145235218,633,505,1138,1138
Precinct,2145235219,457,574,1031,1031
Precinct,2145235220,500,400,900,900
Precinct,2145235221,463,319,782,782
Precinct,2145235222,684,433,1117,1117
Precinct,2145235223,499,444,943,943
Precinct,2145235224,386,292,678,678
Precinct,2145235225,446,658,1104,1104
Precinct,2145235226,507,511,1018,1018
Precinct,2145235227,613,538,1151,1151
Precinct,2145235228,413,493,906,906
Precinct,2145235229,449,583,1032,1032
Precinct,2145235230,375,480,855,855
Precinct,2145235231,381,368,749,749
Precinct,2145235232,436,458,894,894
Precinct,2145235233,391,427,818,818
Precinct,2145235234,411,445,856,856
Precinct,2145235235,345,453,798,798
Precinct,2145235236,436,704,1140,1140
Precinct,2145235237,414,484,898,898
Precinct,2145335301,507,180,687,687
Precinct,2145335302,944,193,1137,1137
Precinct,2145335303,700,156,856,856
Precinct,2145335304,683,385,1068,1068
Precinct,2145335305,536,296,832,832
Precinct,2145335306,557,298,855,855
Precinct,2145335307,685,270,955,955
Precinct,2145335308,637,290,927,927
Precinct,2145335309,1338,586,1924,1924
Precinct,2145335310,695,356,1051,1051
Precinct,2145335311,643,328,971,971
Precinct,2145335312,582,281,863,863
Precinct,2145335313,570,334,904,904
Precinct,2145335314,775,413,1188,1188
Precinct,2145335315,556,394,950,950
Precinct,2145335316,417,283,700,700
Precinct,2145335317,664,441,1105,1105
Precinct,2145335318,457,281,738,738
Precinct,2145335319,445,343,788,788
Precinct,2145335320,403,259,662,662
Precinct,2145335321,445,251,696,696
Precinct,2145335322,497,369,866,866
Precinct,2145335323,471,390,861,861
Precinct,2145335324,581,600,1181,1181
Precinct,2145335325,543,421,964,964
Precinct,2145335326,663,433,1096,1096
Precinct,2145335327,541,535,1076,1076
Precinct,2145335328,522,501,1023,1023
Precinct,2145335329,307,437,744,744
Precinct,2145335330,401,550,951,951
Precinct,2145335331,270,313,583,583
Precinct,2145335332,598,707,1305,1305
Precinct,2154935401,155,245,400,400
Precinct,2154935402,432,731,1163,1163
Precinct,2154935403,258,538,796,796
Precinct,2154935404,23,59,82,82
Precinct,2154935405,291,229,520,520
Precinct,2154935406,365,310,675,675
Precinct,2154935407,621,532,1153,1153
Precinct,2154935408,501,775,1276,1276
Precinct,2154935409,265,557,822,822
Precinct,2154935410,270,350,620,620
Precinct,2154935411,487,519,1006,1006
Precinct,2154935412,352,292,644,644
Precinct,2154935413,402,508,910,910
Precinct,2154935414,376,457,833,833
Precinct,2154935415,430,432,862,862
Precinct,2154935416,505,490,995,995
Precinct,2154935417,419,408,827,827
Precinct,2154935418,392,648,1040,1040
Precinct,2154935419,315,638,953,953
Precinct,2154935420,441,626,1067,1067
Precinct,2154935421,439,619,1058,1058
Precinct,2154935422,291,578,869,869
Precinct,2154935423,353,734,1087,1087
Precinct,2154935424,7,15,22,22
Precinct,2154935425,50,80,130,130
Precinct,2154935426,300,483,783,783
Precinct,2154935427,509,474,983,983
Precinct,2154935428,547,397,944,944
Precinct,2154935429,590,540,1130,1130
Precinct,2154935430,264,435,699,699
Precinct,2154935431,390,817,1207,1207
Precinct,2154935432,331,596,927,927
Precinct,2154935433,318,627,945,945
Precinct,2155135501,291,466,757,757
Precinct,2155135502,288,607,895,895
Precinct,2155135503,258,554,812,812
Precinct,2155135504,328,542,870,870
Precinct,2155135505,286,418,704,704
Precinct,2155135506,280,464,744,744
