,,Democratic,Republican,Libertarian,Green,Unaffiliated,American Constitution,Unity Party of Colorado,American Solidarity,Unaffiliated,Socialism/Liberation,Independent American,Alliance,Unaffiliated,Unaffiliated,Prohibition,Unaffiliated,Progressive,Approval Voting,Socialist Workers,Socialist Equality,Unaffiliated,Unaffiliated/No Party Affiliation,Independent,No Party Affiliation,Total Votes Cast,Total Ballots Cast
Precinct,7213101117,939,422,29,4,5,1,1,0,5,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1410,1410
Precinct,7213101118,522,282,15,3,6,1,0,1,2,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,836,836
Precinct,7213201001,900,268,15,4,4,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198,1198
Precinct,7213201002,1097,350,18,6,3,2,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1482,1482
Precinct,7213201003,646,222,11,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,890,890
Precinct,7213201004,531,243,11,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792,792
Precinct,7213201005,968,360,18,4,5,3,2,0,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1367,1367
Precinct,7213201006,668,237,7,4,1,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,923,923
Precinct,7213201007,678,404,11,2,3,0,1,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1104,1104
Precinct,7213201008,615,292,18,0,1,0,2,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,932,932
Precinct,7213201009,565,278,7,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,857,857
Precinct,7213201021,820,370,25,3,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1225,1225
Precinct,7213201022,774,378,20,5,7,1,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1190,1190
Precinct,7213201023,623,257,10,4,3,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,903,903
Precinct,7213201119,702,359,18,6,9,2,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1102,1102
Precinct,7213201120,727,348,23,3,9,3,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1117,1117
Precinct,7213201121,613,341,13,4,3,2,1,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,982,982
